rank,reward,equations,equations_with_constants
3333,0.8445927817209026,B0*i ; B1 + B2*sqrt(Abs(i)) + B3*i,-0.00319951572395046*i ; 5.35559341195114*i + 4.81466172531871*sqrt(Abs(i)) + 13.581613236989
3334,0.8445917080555835,B0*sqrt(Abs(s)) ; B1 + i**2 - i*r - i,0.0341022562810826*sqrt(Abs(s)) ; i**2 - i*r - i + 0.0179622665896768
3335,0.8445760880045111,B0*sqrt(Abs(s)) ; B1*r + i*r + r**2,0.0339697113500853*sqrt(Abs(s)) ; i*r + r**2 + 2.89603057062878*r
3336,0.8445729781210899,B0*sqrt(Abs(s)) ; B1*i**2 - i**3,0.0339697687708798*sqrt(Abs(s)) ; -i**3 + 34.4766057590243*i**2
3337,0.8445648927256365,B1*Abs(B0*s + s**2)**(1/4) ; 2*i*r + i,0.0332583652573091*Abs(s**2 - 0.000139821564626393*s)**(1/4) ; 2*i*r + i
3338,0.8445431258519172,B0*sqrt(Abs(s)) ; B1*i**2 + B1*i*sqrt(Abs(r)),0.0333831727332191*sqrt(Abs(s)) ; 0.381214606530653*i**2 + 0.381214606530653*i*sqrt(Abs(r))
3339,0.8445054473766277,B0 + B1*i ; 2*i**2,0.0198916175456283 - 0.087351873401665*i ; 2*i**2
3340,0.8444939318813061,B2*Abs(B0 + B1*s)**(1/4) ; B3 - i,0.00917585951868719*Abs(35.9666056247197*s + 3.12158465374081)**(1/4) ; 0.000116974332282898 - i
3341,0.8444667947214196,B0*i ; B4*sqrt(Abs(B1 + B2*i + B3*r)),-0.127214544816273*i ; 0.0252635069903866*sqrt(Abs(5.14700667861535*i - 5.2941425233141*r + 6.10159413058016))
3342,0.844466016370336,B0*i ; B1 + B2*Abs(i)**(1/4),0.00216504837420466*i ; 33.182586014863*Abs(i)**(1/4) - 52.2605097125834
3343,0.8444647013711725,B1*sqrt(Abs(B0 + i)) ; B2*Abs(r)**(1/4) - i,0.00167117521268433*sqrt(Abs(i + 36.5569540662823)) ; -i + 13.3830112596939*Abs(r)**(1/4)
3344,0.8443849839649455,Abs(i)**(5/4) ; B0 + B1*i - i*r,Abs(i)**(5/4) ; -i*r + 2.8605204987776*i + 0.0414850916249751
3345,0.8443766863255132,Abs(i)**(3/2) ; sqrt(Abs(B0 + B1*sqrt(Abs(i)))),Abs(i)**(3/2) ; sqrt(Abs(0.0358376659956295*sqrt(Abs(i)) - 0.00850662128973954))
3346,0.8443762219561396,B1*sqrt(Abs(B0 + s**2)) ; B2 + r - Abs(i)**(1/4)*Abs(r)**(1/4),0.0472688565251133*sqrt(Abs(s**2 - 0.00502088197274854)) ; r - Abs(i)**(1/4)*Abs(r)**(1/4) + 0.187498710190436
3347,0.8443442694881061,B0*sqrt(Abs(i)) ; B1 + r**2 - r,0.00133373554362625*sqrt(Abs(i)) ; r**2 - r + 1.58470646673566
3348,0.8443382885767349,B0*sqrt(Abs(i + sqrt(Abs(i)))) ; B1 + i,0.0437688896257351*sqrt(Abs(i + sqrt(Abs(i)))) ; i + 0.0233409394308804
3349,0.8443373378525904,B0 + i**2 ; B1 + B2*i**2,i**2 + 0.0130141532411241 ; 5.97248739229741*i**2 + 0.0130374710090339
