rank,reward,equations,equations_with_constants
1263,0.8749043496329517,B0 + B1*s ; sqrt(Abs(B2*sqrt(Abs(i)) - r)),0.0389435261356016*s + 0.00587551696434671 ; sqrt(Abs(r - 41.9729798162547*sqrt(Abs(i))))
1264,0.8749043495236919,B0 + B1*s ; sqrt(Abs(B2*sqrt(Abs(r)) + B3)),0.038955047823975*s + 0.00586992242696395 ; sqrt(0.00541163855237717*sqrt(Abs(r)) + 0.0241681386160685)
1265,0.8749043493872651,B0 + B1*s ; sqrt(Abs(B2*sqrt(Abs(i)) + B3)),0.0389422490267253*s + 0.00588682720548861 ; sqrt(0.712376792477595*sqrt(Abs(i)) + 16.121650400898)
1266,0.874904349361928,B0 + B1*s ; B3*Abs(B2 + r)**(1/4),2.72467616060625*s + 0.411203602514427 ; 0.129600692096738*Abs(r + 22.7546864661284)**(1/4)
1267,0.8749043492807981,B0 + B1*i - s ; B2*sqrt(Abs(r)),-1.03895218307031*i - s + 1.04483703003236 ; 0.000676648821101534*sqrt(Abs(r))
1268,0.8749043489845812,B0 + B1*s + i ; B2*sqrt(Abs(r)),i + 1.0389426027138*s - 0.994125441917128 ; 0.360098280080062*sqrt(Abs(r))
1269,0.8749043489667151,B0 + B1*s ; B2 - i + 2*r,2.72467830372368*s + 0.411537615674672 ; -i + 2*r + 0.398701447795756
1270,0.8749043489136392,B0 + B1*s ; B2 + Abs(B3 - i)**(1/4),0.0389412763642757*s + 0.00587573347405911 ; Abs(i - 46.2629949319553)**(1/4) + 0.000145514895377344
1271,0.8749043487702713,B0 + B1*s ; B2 + 3*i,0.0389509711600447*s + 0.00586896971782737 ; 3*i + 0.0277614337739061
1272,0.8749043478767629,B0 + B1*s ; B2 + i*r + i,0.0389378390772466*s + 0.00588950643119515 ; i*r + i + 0.0020838420535056
1273,0.8749043476277916,B0 + B1*s ; B2 + B3*Abs(r)**(1/4),0.0389504841715748*s + 0.00588883681286132 ; 0.0550034157098091*Abs(r)**(1/4) + 0.923973254955752
1274,0.874904347295164,B0 + B1*s ; B2*r + r**2,0.038939790249213*s + 0.00589143858428815 ; r**2 + 0.713686854637502*r
1275,0.8749043472505263,B0 + B1*i ; B2*r + i*r,0.0448242899251586 - 0.0389350411221858*i ; i*r + 0.00384254306489963*r
1276,0.8749043471743445,B0 + B1*s ; B2 + B3*r - i,2.72468601978809*s + 0.410730864952583 ; -i + 0.9534082452251*r + 0.669647065211594
1277,0.8749043471463535,B0*i + B1*s ; B2*Abs(r)**(1/4),0.00588522081466957*i + 0.0448427258324728*s ; 21.8046039166477*Abs(r)**(1/4)
1278,0.8749043462911449,B0*i + B1*s ; B2*r + r**2,0.00588228580743364*i + 0.0448444887542518*s ; r**2 + 0.242404781328298*r
1279,0.8749043462102302,B0 + B1*i - s ; B2*r,-3.72467034412425*i - s + 4.13548886364482 ; 1.74386659970449*r
1280,0.8749043451487578,B0*i + B1*s ; B2*r,0.00588734578945693*i + 0.0448169560987375*s ; 0.000749586448040213*r
1281,0.8749043442852013,B0*i + B1*s ; B2*sqrt(Abs(r)),0.00586958021102483*i + 0.0448085227957446*s ; 0.00246423589979514*sqrt(Abs(r))
1282,0.8749043435499574,B0 + B1*i ; B2*i*r**2,0.0448085031749115 - 0.0389423492508239*i ; 0.00477386658328688*i*r**2
1283,0.8749043424241709,B0 + B1*i ; B2*i*Abs(r)**(3/2),3.1372581823105 - 2.72469668106304*i ; 0.00205174603232763*i*Abs(r)**(3/2)
1284,0.8749043061235123,B0 + B1*s + i ; r,i + 3.7246449446588*s - 0.591038025527039 ; r
1285,0.87490429378301,B0 + B1*s ; r**4,2.72464019654465*s + 0.408668159288768 ; r**4
1286,0.8749042499138817,B0 + B1*s ; i - Abs(r)**(5/2),2.72462652799988*s + 0.407822761704176 ; i - Abs(r)**(5/2)
1287,0.8749041153038025,B0 + B1*s - i ; r*sqrt(Abs(i)),-i + 1.72476582203668*s + 1.41625611752887 ; r*sqrt(Abs(i))
1288,0.8749040676404988,B0 + B1*i + s ; sqrt(Abs(r)),0.96118975457725*i + s - 0.955252465452026 ; sqrt(Abs(r))
1289,0.8749040665714832,B0 + B1*i + s ; r,-1.72477409672406*i + s + 2.14151089761895 ; r
1290,0.8749040575443597,B0*i + B1*s ; i*r,0.00593832729833709*i + 0.0447461132620324*s ; i*r
1291,0.8749040550453775,B0*i + B1*s ; r**2,0.416771817647996*i + 3.14154774744671*s ; r**2
1292,0.8749040461391424,B0*i + B1*s ; Abs(r)**(3/4),0.0059394824484409*i + 0.0447445405458098*s ; Abs(r)**(3/4)
